"precinct","estimated_male","estimated_female","estimated_population"
"LWANDLE","34058.0","31080.0","65146.0"
"LYDENBURG","25147.0","23844.0","48995.0"
"LYTTELTON","51865.0","57327.0","109190.0"
"MAAKE","73265.0","88065.0","161332.0"
"MAARTENSHOOP","2719.0","2677.0","5396.0"
"MABOPANE","43025.0","45234.0","88255.0"
"MACASSAR","17098.0","17938.0","35030.0"
"MACHADODORP","5350.0","4845.0","10194.0"
"MACLEANTOWN","5005.0","5429.0","10433.0"
"MACLEAR","5676.0","6024.0","11699.0"
"MADADENI","74159.0","82976.0","157125.0"
"MADEIRA","11234.0","14095.0","25326.0"
"MADIBOGO","16790.0","19042.0","35828.0"
"MADIKWE","29657.0","32568.0","62232.0"
"MAFUBE","13591.0","14429.0","28023.0"
"MAGALIESBURG","6369.0","6088.0","12455.0"
"MAGATLE","28737.0","35147.0","63884.0"
"MAGUDU","4221.0","3937.0","8158.0"
"MAHAMBA","4087.0","4787.0","8874.0"
"MAHIKENG","38607.0","38024.0","76634.0"
"MAHLABATHINI","26204.0","32582.0","58791.0"
"MAHWELERENG","71279.0","80377.0","151653.0"
"MAITLAND","9887.0","9642.0","19529.0"
"MAKAPANSTAD","25632.0","27375.0","53009.0"
"MAKGOBISTAD","7782.0","8719.0","16500.0"
"MAKHADO","31038.0","28847.0","59895.0"
"MAKUYA","8879.0","10387.0","19266.0"
"MAKWANE","19166.0","23455.0","42619.0"
"MAKWASSIE","8799.0","8835.0","17636.0"
"MALAMULELE","59351.0","74943.0","134305.0"
"MALEBOHO","25789.0","31475.0","57255.0"
"MALELANE","6480.0","5092.0","11571.0"
"MALETSWAI","8367.0","9542.0","17912.0"
"MALIPSDRIFT","8976.0","11309.0","20284.0"
"MALMESBURY","29370.0","28991.0","58356.0"
"MALUTI","43326.0","50395.0","93741.0"
"MALVERN","18929.0","19531.0","38457.0"
"MAMELODI","39086.0","33452.0","72533.0"
"MAMELODI EAST","134112.0","126670.0","260784.0"
"MANDENI","5641.0","5720.0","11362.0"
"MANENBERG","40628.0","44650.0","85283.0"
"MANGAUNG","25388.0","26476.0","51858.0"
"MANKWENG","92228.0","106284.0","198514.0"
"MAOKENG","34366.0","39541.0","73906.0"
"MAPHUMULO","26074.0","31310.0","57370.0"
"MARA","1762.0","1503.0","3262.0"
"MARBLE HALL","36703.0","39516.0","76219.0"
"MARGATE","29977.0","33142.0","63124.0"
"MARIANNHILL","61327.0","62242.0","123568.0"
"MARIKANA","35763.0","21102.0","56873.0"
"MARQUARD","8050.0","8969.0","17016.0"
"MARYDALE","1544.0","1608.0","3152.0"
"MASEMOLA","16651.0","21869.0","38520.0"
"MASHASHANE","25180.0","29904.0","55083.0"
"MASISI","9879.0","11078.0","20956.0"
"MASOYI","47046.0","51769.0","98815.0"
"MATATIELE","6422.0","7807.0","14230.0"
"MATLALA","42339.0","51724.0","94064.0"
"MATSULU","23465.0","25600.0","49067.0"
"MAYDON WHARF","523.0","378.0","900.0"
"MAYFLOWER","17740.0","21135.0","38873.0"
"MAYVILLE-KZN","15729.0","17110.0","32836.0"
"MBAZWANA","19789.0","22945.0","42734.0"
"MBEKWENI","19663.0","20542.0","40202.0"
"MBIZENI","374.0","379.0","754.0"
"MBONGOLWANE","14407.0","17580.0","31980.0"
"MBUZINI","10201.0","12221.0","22416.0"
"MCGREGOR","2834.0","2951.0","5786.0"
"MDANTSANE","39686.0","44104.0","83791.0"
"MEADOWLANDS","72299.0","71517.0","143811.0"
"MECKLENBURG","61977.0","69353.0","131329.0"
"MEHLOMNYAMA","14234.0","16713.0","30948.0"
"MELKBOSSTRAND","6028.0","6354.0","12383.0"
"MELMOTH","37955.0","44931.0","82888.0"
"MELODING","19511.0","20985.0","40495.0"
"MEMEL","4240.0","4571.0","8809.0"
"MEYERTON","24067.0","23293.0","47354.0"
"MFULENI","57929.0","57851.0","115794.0"
"MHALA","60262.0","74186.0","134437.0"
"MHLUZI","45290.0","42742.0","88045.0"
"MID ILLOVO","11522.0","12081.0","23598.0"
"MIDDELBURG MPUMALANG","51306.0","48491.0","99807.0"
"MIDDELBURG(EC)","10372.0","11338.0","21707.0"
"MIDDELPOS","604.0","558.0","1163.0"
"MIDDLEDRIFT","9562.0","9324.0","18889.0"
"MIDRAND","39303.0","41471.0","80789.0"
"MILNERTON","43639.0","42440.0","86089.0"
"MITCHELLS PLAIN","95157.0","100218.0","195377.0"
"MKHUZE","8340.0","9438.0","17777.0"
"MLUNGISI","24861.0","28102.0","52961.0"
"MMABATHO","63754.0","70397.0","134138.0"
"MMAKAU","15433.0","13997.0","29427.0"
"MMAMETLAKE","35412.0","39861.0","75275.0"
"MODDER RIVER","7724.0","7939.0","15658.0"
"MODIMOLLE","23008.0","22807.0","45808.0"
"MODJADJISKLOOF","17223.0","17436.0","34660.0"
"MOFFATVIEW","33313.0","33699.0","67017.0"
"MOGWADI","13166.0","15126.0","28288.0"
"MOGWASE","60705.0","58324.0","119032.0"
"MOKOPANE","21789.0","22621.0","44406.0"
"MOKOPONG","347.0","197.0","545.0"
"MOLTENO","6534.0","6795.0","13332.0"
"MONDEOR","80273.0","77032.0","157299.0"
"MONDLO","47599.0","52593.0","100188.0"
"MONTAGU","11459.0","11955.0","23408.0"
"MONTCLAIR","17521.0","17003.0","34526.0"
"MOOI RIVER","14301.0","14961.0","29261.0"
"MOOIFONTEIN","21605.0","23927.0","45528.0"
"MOOINOOI","23820.0","19149.0","42964.0"
"MOOIPLAAS","5980.0","6764.0","12745.0"
"MOORREESBURG","11173.0","12151.0","23324.0"
"MOREBENG","5892.0","6384.0","12273.0"
"MORGENZON TRANSVAAL","6040.0","5890.0","11932.0"
"MOROKA","118149.0","120215.0","238354.0"
"MOROKWENG","13074.0","15694.0","28761.0"
"MOSSEL BAY","4854.0","5649.0","10499.0"
"MOTETEMA","35293.0","42760.0","78057.0"
"MOTHERWELL","46526.0","51094.0","97614.0"
"MOTHIBISTAD","32666.0","36156.0","68818.0"
"MOTHUTLUNG","6155.0","6073.0","12230.0"
"MOTSWEDI","23780.0","26460.0","50238.0"
"MOUNT AYLIFF","44618.0","53600.0","98220.0"
"MOUNT FLETCHER","30419.0","34749.0","65170.0"
"MOUNT FRERE","51106.0","60134.0","111230.0"
"MOUNT ROAD","16995.0","18625.0","35623.0"
"MOUNTAIN RISE","58903.0","63714.0","122616.0"
"MOWBRAY","4903.0","5042.0","9944.0"
"MOYENI","3310.0","3924.0","7233.0"
"MPHEPHU","33776.0","41967.0","75743.0"
"MPISI","11284.0","13675.0","24953.0"
"MPOPHOMENI","13434.0","15534.0","28964.0"
"MPUMALANGA KZN","49727.0","55536.0","105267.0"
"MPUNGAMHLOPHE","7479.0","8737.0","16213.0"
"MQANDULI","40340.0","47115.0","87448.0"
"MSINGA","50796.0","67556.0","118363.0"
"MSINSINI","17297.0","20204.0","37505.0"
"MSOBOMVU","18729.0","22898.0","41626.0"
"MTHATHA","78643.0","89952.0","168587.0"
"MTONTSASA","17787.0","20865.0","38651.0"
"MTUBATUBA","15010.0","16401.0","31415.0"
"MTUNZINI","36798.0","43135.0","79935.0"
"MUDEN","5919.0","7350.0","13268.0"
"MUIZENBERG","29791.0","29204.0","58992.0"
"MULDERSDRIFT","17654.0","15082.0","32744.0"
"MURRAYSBURG","3678.0","3748.0","7427.0"
"MUSINA","28817.0","28470.0","57284.0"
"MUTALE","24497.0","30441.0","54935.0"
"MZAMBA","30701.0","36743.0","67446.0"
"NABABEEP","8494.0","8972.0","17464.0"
"NABOOMSPRUIT","15228.0","14874.0","30102.0"
"NALEDI","43689.0","45998.0","89686.0"
"NAMAHADI","25012.0","30852.0","55863.0"
"NAMAKGALE","38711.0","41308.0","80021.0"
"NAPIER","3368.0","3409.0","6779.0"
"NAVALSIG","6999.0","6879.0","13879.0"
"NDEVANA","11649.0","12383.0","24032.0"
"NDUMO","17903.0","21381.0","39282.0"
"NDWEDWE","53096.0","59895.0","112986.0"
"NEBO","40875.0","51080.0","91954.0"
"NELSPRUIT","40460.0","40261.0","80715.0"
"NEMATO","8617.0","9606.0","18223.0"
"NEW BRIGHTON","46710.0","49997.0","96711.0"
"NEW HANOVER","8674.0","9269.0","17948.0"
"NEWARK","6995.0","7653.0","14648.0"
"NEWCASTLE","32674.0","33382.0","66053.0"
"NEWLANDS EAST","36338.0","40450.0","76795.0"
"NGANGELIZWE","26099.0","31518.0","57617.0"
"NGODWANA","4464.0","3477.0","7943.0"
"NGOME","7566.0","8750.0","16316.0"
"NGQELENI","76308.0","88375.0","164689.0"
"NHLANHLENI","25982.0","33043.0","59014.0"
"NIEKERKSHOOP","1466.0","1286.0","2753.0"
"NIETVERDIEND","705.0","407.0","1112.0"
"NIEUWOUDTVILLE","1446.0","1348.0","2794.0"
"NIGEL","16400.0","16010.0","32410.0"
"NKANDLA","28710.0","35634.0","64344.0"
"NOENIEPUT","447.0","332.0","779.0"
"NONDWENI","8053.0","9330.0","17388.0"
"NONGOMA","90157.0","108731.0","198888.0"
"NORKEMPARK","33933.0","36276.0","70213.0"
"NORMANDIEN","1715.0","1526.0","3241.0"
"NORTHAM","19704.0","11065.0","30768.0"
"NORVALSPONT","633.0","740.0","1374.0"
"NORWOOD","20558.0","23495.0","44060.0"
"NOTTINGHAM ROAD","4733.0","4215.0","8948.0"
"NOUPOORT","3918.0","4346.0","8266.0"
"NQAMAKWE","32400.0","35075.0","67479.0"
"NQUTHU","45503.0","55198.0","100694.0"
"NSUZE","25745.0","30794.0","56542.0"
"NTABAMHLOPHE","21187.0","23899.0","45088.0"
"NTABANKULU","54915.0","65061.0","119994.0"
"NTABETHEMBA","4956.0","5691.0","10647.0"
"NTAMBANANA","16573.0","19380.0","35956.0"
"NTUZUMA","56752.0","60589.0","117340.0"
"NUWERUS","2497.0","2573.0","5069.0"
"NYANGA","100824.0","101508.0","202332.0"
"NYONI","20813.0","23091.0","43903.0"
"OCEAN VIEW","20601.0","19787.0","40392.0"
"ODENDAALSRUS","34073.0","33451.0","67512.0"
"OGIES","22585.0","20144.0","42724.0"
"OHRIGSTAD","1647.0","1216.0","2865.0"
"OLIEVENHOUTBOSCH","51395.0","45981.0","97376.0"
"OLIFANTSFONTEIN","21005.0","19710.0","40710.0"
"OLIFANTSHOEK","5674.0","5678.0","11353.0"
"ONSEEPKANS","2095.0","1945.0","4039.0"
"OR TAMBO INTERN AIRP","96.0","74.0","170.0"
"ORANGE FARMS","103341.0","106828.0","210174.0"
"ORANJEVILLE","3135.0","3046.0","6181.0"
"ORKNEY","14392.0","10312.0","24699.0"
"ORLANDO","66557.0","66198.0","132759.0"
"OSIZWENI","69207.0","78475.0","147688.0"
"OTTOSDAL","15068.0","14525.0","29592.0"
"OTTOSHOOP","4208.0","3391.0","7599.0"
"OUDTSHOORN","35672.0","38959.0","74633.0"
"PAARL","26060.0","25392.0","51451.0"
"PAARL EAST","40885.0","42808.0","83690.0"
"PABALELLO","8721.0","9288.0","18008.0"
"PACALTSDORP","12433.0","13091.0","25523.0"
"PADDOCK","6458.0","6658.0","13117.0"
"PALMIETFONTEIN","15850.0","18640.0","34490.0"
"PAMPIERSTAT","16987.0","19289.0","36279.0"
"PARK ROAD","37668.0","41542.0","79206.0"
"PARKVIEW","17972.0","20446.0","38408.0"
"PAROW","28755.0","31581.0","60339.0"
"PARYS","4801.0","5379.0","10180.0"
"PATENSIE","4270.0","4311.0","8580.0"
"PATERSON","3221.0","3248.0","6467.0"
"PAUL ROUX","3879.0","4217.0","8098.0"
"PAULPIETERSBURG","34843.0","39857.0","74706.0"
"PEARSTON","2483.0","2581.0","5062.0"
"PEDDIE","11312.0","12769.0","24087.0"
"PELLA","1770.0","1616.0","3386.0"
"PERDEKOP","4009.0","4306.0","8312.0"
"PETRUS STEYN","6772.0","7761.0","14532.0"
"PETRUSBURG","5241.0","5222.0","10462.0"
"PETRUSVILLE","2763.0","2850.0","5610.0"
"PHALABORWA","7122.0","6755.0","13876.0"
"PHILADELPHIA","3683.0","3625.0","7310.0"
"PHILIPPI","26036.0","27864.0","53902.0"
"PHILIPPI EAST","27853.0","28237.0","56093.0"
"PHILIPPOLIS","2189.0","2369.0","4558.0"
"PHILIPSTOWN","1927.0","2058.0","3985.0"
"PHOENIX","99643.0","104776.0","204430.0"
"PHOKENG","71363.0","51595.0","122959.0"
"PHUMALANGA","7486.0","8574.0","16060.0"
"PHUTHADITJHABA","36894.0","44292.0","81194.0"
"PIENAAR","49247.0","53026.0","102263.0"
"PIENAARSRIVIER","1692.0","1392.0","3085.0"
"PIET PLESSIS","3361.0","2642.0","6004.0"
"PIET RETIEF","48581.0","52066.0","100638.0"
"PIETERMARITZBURG","9556.0","10882.0","20441.0"
"PIKETBERG","11326.0","12408.0","23735.0"
"PILGRIM'S REST","1198.0","979.0","2173.0"
"PINELANDS","9755.0","10911.0","20663.0"
"PINETOWN","44401.0","47871.0","92261.0"
"PLESSISLAER","123155.0","137848.0","260995.0"
"PLETTENBERG BAY","13455.0","13473.0","26924.0"
"PLOOYSBURG","923.0","662.0","1587.0"
"POFADDER","1713.0","1838.0","3549.0"
"POINT","12011.0","13244.0","25253.0"
"POLOKWANE","33476.0","34079.0","67557.0"
"PONGOLA","50940.0","58271.0","109205.0"
"PORT ALFRED","4145.0","4662.0","8806.0"
"PORT EDWARD","15314.0","17106.0","32429.0"
"PORT NOLLOTH","3642.0","3464.0","7106.0"
"PORT SHEPSTONE","36192.0","39387.0","75574.0"
"PORT ST JOHNS","33168.0","39415.0","72581.0"
"PORTERVILLE","7533.0","8179.0","15714.0"
"POSTMASBURG","17176.0","15777.0","32955.0"
"POTCHEFSTROOM","25840.0","26061.0","51891.0"
"PRESTBURY","7995.0","6458.0","14452.0"
"PRETORIA CENTRAL","28057.0","25123.0","53175.0"
"PRETORIA MOOT","14403.0","16137.0","30542.0"
"PRETORIA NORTH","15432.0","15744.0","31176.0"
"PRETORIA WEST","48246.0","50543.0","98787.0"
"PRIESKA","7866.0","8073.0","15942.0"
